task_id,category,experiment,events,output_mib,events_per_second,elapsed_seconds,validation_seconds,peak_rss_mib,klm_nodes,unique_event_uids
0,ccbar,e1004,5000,57.64937686920166,37.12253606365331,134.689073812915,8.713819063035771,588.5,12084,5000
1,charged,e1004,5000,76.61595058441162,31.8352677878424,157.05851866304874,11.069622904993594,579.95703125,10512,5000
2,ddbar,e1004,5000,42.58583450317383,49.33838146569379,101.3409814320039,6.667684946907684,482.5078125,11166,5000
3,mixed,e1004,5000,76.93396472930908,18.90412186263454,264.49258189997636,18.278773397905752,491.4375,10644,5000
4,ssbar,e1004,5000,44.76797962188721,36.61770056772921,136.5459852060303,10.937266926979646,398.734375,12589,5000
5,taupair,e1004,5000,24.95942974090576,53.36820127549641,93.68874873989262,6.6158644440583885,446.6328125,7206,5000
6,uubar,e1004,5000,42.12166500091553,39.618702877488765,126.2030212210957,10.688352892873809,513.984375,10978,5000
7,ccbar,e1004,5000,57.49731731414795,42.96610979465214,116.37078674091026,8.94426907110028,592.58203125,12054,5000
8,charged,e1004,5000,76.23197364807129,21.323084176463865,234.4876547229942,18.09648822597228,798.65234375,10484,5000
9,ddbar,e1004,5000,42.416364669799805,42.50099152598099,117.64431417896412,10.190108349081129,550.37890625,11007,5000
10,mixed,e1004,5000,77.40870761871338,20.806207725753513,240.31289439694956,19.066970366984606,742.32421875,10503,5000
11,ssbar,e1004,5000,44.68098449707031,26.09503414765979,191.6073369249989,12.313866436999888,587.7890625,12588,5000
12,taupair,e1004,5000,24.886993408203125,28.527494269355316,175.269512029,9.796459510999739,491.1484375,7247,5000
13,uubar,e1004,5000,42.33152484893799,35.48911773232448,140.8882586969994,11.47425644705072,505.4921875,11044,5000
14,ccbar,e1004,5000,57.625277519226074,30.77775010346693,162.45501972013153,13.387217212002724,695.2109375,11998,5000
15,charged,e1004,5000,76.56650161743164,22.036339738194034,226.8979358370416,26.051413303008303,594.4609375,10618,5000
16,ddbar,e1004,5000,42.23167324066162,34.703343969177546,144.07833448098972,12.528476276958827,501.80859375,11320,5000
17,mixed,e1004,5000,76.71905326843262,21.551720994172754,232.00003384193406,22.73836627905257,654.33203125,10687,5000
18,ssbar,e1004,5000,44.54945373535156,36.60276680587298,136.60169534500164,13.069798696000362,576.4140625,12656,5000
19,taupair,e1004,5000,25.00865077972412,72.80909092827949,68.6727431458421,4.98200657684356,440.34765625,7170,5000
20,uubar,e1004,5000,42.50525760650635,42.29711796391202,118.21136381599354,8.025186121987645,546.9296875,11022,5000
21,ccbar,e1004,5000,57.32955455780029,28.376204324176936,176.20397509401664,13.917375660967082,726.20703125,11867,5000
22,charged,e1004,5000,76.40222358703613,23.368172235134193,213.96624218998477,22.672659253003076,683.6015625,10561,5000
23,ddbar,e1004,5000,42.332332611083984,38.66875128913311,129.30337374005467,10.152245983947068,367.25390625,11015,5000
24,mixed,e1004,5000,76.97033596038818,32.91735231790728,151.89557020599023,11.337508135009557,574.52734375,10501,5000
25,ssbar,e1004,5000,44.62657070159912,32.69541278829792,152.92665158794262,12.00797897693701,512.16796875,12537,5000
26,taupair,e1004,5000,25.004164695739746,51.60178048824486,96.8958813570207,6.5526336950133555,454.38671875,7229,5000
27,uubar,e1004,5000,42.21041297912598,51.551899572417035,96.98963649198413,7.461213652044535,511.5234375,11208,5000
28,ccbar,e1004,5000,57.5401554107666,34.520817068456864,144.84014066308737,12.609145283931866,703.953125,12154,5000
29,charged,e1004,5000,76.65605545043945,21.307796971495527,234.65588707686402,19.555600092047825,665.6640625,10562,5000
30,ddbar,e1004,5000,42.38222408294678,35.77375997762712,139.76724848400045,13.664951040002052,553.5078125,11046,5000
31,mixed,e1004,5000,77.11568450927734,22.70488383379392,220.2169381971471,23.76214894792065,800.59375,10571,5000
32,ssbar,e1004,5000,44.28936576843262,35.84728001318039,139.48059652396478,11.297154932050034,553.42578125,12608,5000
33,taupair,e1004,5000,24.94242763519287,77.55600869539664,64.46953735896386,4.749660433968529,412.52734375,7172,5000
34,uubar,e1004,5000,42.216519355773926,53.14982540526657,94.07368626096286,6.894817172084004,490.55859375,10980,5000
35,ccbar,e1004,5000,57.5184965133667,31.229448155041926,160.1052946941927,13.709329344099388,699.45703125,12182,5000
36,charged,e1004,5000,76.49806499481201,32.24945743573133,155.04136805911548,11.859069135971367,559.875,10429,5000
37,ddbar,e1004,5000,42.357014656066895,52.48266517786909,95.26955201406963,7.665538253029808,506.17578125,10974,5000
38,mixed,e1004,5000,77.19898986816406,33.36943024217538,149.83773962315172,11.698956270935014,669.88671875,10607,5000
39,ssbar,e1004,5000,44.37925052642822,55.04617607764945,90.83283083909191,6.895161497173831,484.2734375,12450,5000
40,taupair,e1004,5000,25.102206230163574,75.57285614109558,66.1613210788928,4.353968850104138,394.65234375,7445,5000
41,uubar,e1004,5000,42.44992637634277,53.16773170408626,94.04200329305604,6.666630839928985,463.49609375,10864,5000
42,ccbar,e1004,5000,57.57483768463135,42.42784127949022,117.84714586497284,9.240031362045556,601.8359375,12031,5000
43,charged,e1004,5000,76.8590145111084,31.392621018101142,159.2730978759937,11.910062385024503,606.62890625,10648,5000
44,ddbar,e1004,5000,42.063323974609375,50.995397705698515,98.0480636479333,6.708491879049689,499.6796875,10945,5000
45,mixed,e1004,5000,76.99662208557129,33.04519847614191,151.3079125129152,11.39911076403223,619.296875,10550,5000
46,ssbar,e1004,5000,44.807888984680176,50.855784773114024,98.31723219505511,7.404960979009047,513.984375,12461,5000
47,taupair,e1004,5000,25.080655097961426,80.55703687861757,62.06782416207716,4.457453846000135,417.859375,7328,5000
48,uubar,e1004,5000,42.39752006530762,53.87058705161175,92.81502715405077,7.927490818081424,522.52734375,11101,5000
